id,name,type,url,description,tags,tasks,modalities,organism,license,api,paper,updated
cancer_therapeutics_response_portal_ctrp,Cancer Therapeutics Response Portal (CTRP),benchmark,https://portals.broadinstitute.org/ctrp/,Drug sensitivity profiles across ~900 cancer cell lines for >400 compounds.,benchmarks-and-datasets,,,,,False,,
clintox,ClinTox,benchmark,https://tdcommons.ai/single_pred_tasks/tox/#clintox,Clinical toxicity dataset contrasting FDA-approved drugs with those that failed clinical trials due to toxicity.,benchmarks-and-datasets,,,,,False,,
cptac_clinical_proteomic_tumor_analysis_consortium,CPTAC (Clinical Proteomic Tumor Analysis Consortium),benchmark,https://proteomics.cancer.gov/programs/cptac,Multi-omic proteogenomic datasets for multiple cancer types linking proteomics with genomics.,benchmarks-and-datasets,,,,,False,,
crossdocked2020,CrossDocked2020,benchmark,https://arxiv.org/abs/2001.01037,Large-scale dataset for structure-based virtual screening.,benchmarks-and-datasets,,,,,False,,
dud_e_directory_of_useful_decoys_enhanced,"DUD-E (Directory of Useful Decoys, Enhanced)",benchmark,http://dude.docking.org/,Structure-based virtual screening benchmark with active ligands and challenging decoy sets across diverse protein targets.,benchmarks-and-datasets,,,,,False,,
flip_fitness_landscape_inference_for_proteins,FLIP (Fitness Landscape Inference for Proteins),benchmark,https://github.com/J-SNACKKB/FLIP,Benchmark collection of protein fitness landscape datasets for evaluating protein ML models.,benchmarks-and-datasets,,,,,False,,
guacamol,GuacaMol,benchmark,https://github.com/BenevolentAI/guacamol,Benchmark suite for generative molecular design models.,benchmarks-and-datasets,,,,,False,,
jump_cell_painting_datasets,JUMP Cell Painting Datasets,benchmark,https://github.com/jump-cellpainting/datasets,Consortium-scale cell imaging perturbation datasets (chemical and genetic) for phenotypic profiling and drug discovery research.,benchmarks-and-datasets,,,,,False,,
lincs_l1000,LINCS L1000,benchmark,https://lincsproject.org/LINCS/tools/workflows/find-the-best-place-to-obtain-the-lincs-l1000-data,"Gene expression profiles (978 landmark genes) for >20,000 chemical and genetic perturbations across cell lines.",benchmarks-and-datasets,,,,,False,,
moleculenet,MoleculeNet,benchmark,http://moleculenet.ai/,Benchmark datasets for molecular machine learning.,benchmarks-and-datasets,,,,,False,,
moses,MOSES,benchmark,https://github.com/molecularsets/moses,Benchmarking platform for molecular generation models.,benchmarks-and-datasets,,,,,False,,
ogb_open_graph_benchmark,OGB (Open Graph Benchmark),benchmark,https://ogb.stanford.edu/,Large-scale graph ML benchmark suite including biological datasets such as ogbl-ppa (protein-protein associations) and ogbg-molhiv.,benchmarks-and-datasets,,,,,False,,
openbiolink,OpenBioLink,benchmark,https://github.com/OpenBioLink/OpenBioLink,Benchmark datasets for biological knowledge graph completion.,benchmarks-and-datasets,,,,,False,,
pharmgkb,PharmGKB,benchmark,https://www.pharmgkb.org/,Curated pharmacogenomics dataset linking genetic variants to drug response phenotypes across thousands of drugs.,benchmarks-and-datasets,,,,,False,,
pk_db,PK-DB,benchmark,https://pk-db.com/,Open database of experimental pharmacokinetics (PK) and ADME data from clinical and preclinical studies.,benchmarks-and-datasets,,,,,False,,
prism,PRISM,benchmark,https://depmap.org/portal/prism/,"Cancer drug sensitivity profiling of >4,500 drugs across >900 cancer cell lines using pooled-cell-line barcoding.",benchmarks-and-datasets,,,,,False,,
proteingym,ProteinGym,benchmark,https://github.com/OATML-Markslab/ProteinGym,Large-scale benchmark of deep mutational scanning assays for evaluating protein fitness landscape models.,benchmarks-and-datasets,,,,,False,,
qm9,QM9,benchmark,https://figshare.com/collections/Quantum_chemistry_structures_and_properties_of_134_kilo_molecules/978904,Quantum chemistry properties for 134K stable small organic molecules computed at DFT level.,benchmarks-and-datasets,,,,,False,,
scib_single_cell_integration_benchmarks,scIB (Single-cell Integration Benchmarks),benchmark,https://github.com/theislab/scib,Comprehensive benchmarking framework for single-cell data integration methods.,benchmarks-and-datasets,,,,,False,,
scperturb,scPerturb,benchmark,https://github.com/sanderlab/scPerturb,Curated and continuously updated single-cell perturbation data resource spanning CRISPR and drug perturbation studies.,benchmarks-and-datasets,,,,,False,,
sider_side_effect_resource,SIDER (Side Effect Resource),benchmark,http://sideeffects.embl.de/,"Database of 1,430 approved drugs with their recorded adverse drug reactions across 27 system-organ classes.",benchmarks-and-datasets,,,,,False,,
tabula_muris,Tabula Muris,benchmark,https://tabula-muris.ds.czbiohub.org/,"Comprehensive single-cell atlas of 20 mouse organs and tissues, enabling cross-tissue and cross-species comparisons.",benchmarks-and-datasets,,,,,False,,
tabula_sapiens,Tabula Sapiens,benchmark,https://tabula-sapiens-portal.ds.czbiohub.org/,Comprehensive human single-cell atlas of ~500K cells from 24 organs and tissues across multiple donors.,benchmarks-and-datasets,,,,,False,,
tape_tasks_assessing_protein_embeddings,TAPE (Tasks Assessing Protein Embeddings),benchmark,https://github.com/songlab-cal/tape,Benchmark suite of five biologically meaningful semi-supervised learning tasks for evaluating protein representations.,benchmarks-and-datasets,,,,,False,,
the_cancer_genome_atlas_tcga,The Cancer Genome Atlas (TCGA),benchmark,https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga,"Comprehensive multi-omics (genomics, transcriptomics, proteomics, methylation) dataset for 33 cancer types across ~11,000 patients.",benchmarks-and-datasets,,,,,False,,
therapeutics_data_commons_tdc,Therapeutics Data Commons (TDC),benchmark,https://tdcommons.ai/,"Unified benchmark suite covering ADMET, drug-target interaction, drug response, and more.",benchmarks-and-datasets,,,,,False,,
tox21,Tox21,benchmark,https://tripod.nih.gov/tox21/challenge/,"12,707 compounds tested in 12 nuclear receptor and stress-response pathway biochemical assays for toxicity prediction.",benchmarks-and-datasets,,,,,False,,
uk_biobank,UK Biobank,benchmark,https://www.ukbiobank.ac.uk/,"Large-scale biomedical database of ~500K participants with genetic, imaging, and health data for population genetics and disease studies.",benchmarks-and-datasets,,,,,False,,
10x_genomics_dataset,10x Genomics Dataset,database,https://www.10xgenomics.com/resources/datasets,Collection of single-cell datasets.,genome,,Genomics,,,False,,
alphafold_protein_structure_database,AlphaFold Protein Structure Database,database,https://alphafold.ebi.ac.uk/api-docs,3D protein structure predictions.,protein,,Protein,,,False,,
bindingdb,BindingDB,database,https://www.bindingdb.org/rwd/bind/index.jsp,Compounds and target database.,chemical-protein-interaction|interaction,,Protein|Small Molecule,,,False,,
biocyc,BioCyc,database,https://biocyc.org/,Collection of pathway/genome databases across thousands of organisms.,pathway,,Pathway,,,False,,
biogrid,BioGRID,database,https://thebiogrid.org/,"Protein, genetic, and chemical interactions.",interaction|protein-protein-interaction,,Protein,,,False,,
cancer_cell_line_encyclopedia,Cancer Cell Line Encyclopedia,database,https://sites.broadinstitute.org/ccle/,Database of ~1000 cancer cell lines.,drug-cell-line-response|interaction,,Gene Expression|Small Molecule,,,False,,
catalogue_of_somatic_mutations_in_cancer_cosmic,Catalogue Of Somatic Mutations In Cancer (COSMIC),database,https://cancer.sanger.ac.uk/cosmic,Resource on somatic mutations in cancers.,genome,,Genomics,,,False,,
cath_database,CATH database,database,https://www.cathdb.info/,Hierarchical classification of protein domain structures.,protein,,Protein,,,False,,
cbioportal,cBioPortal,database,https://www.cbioportal.org/,Cancer genomics database; aggregating many patient datasets.,genome,,Genomics,,,False,,
cellminer_cross_database_cellminercdb,CellMiner Cross Database (CellMinerCDB),database,https://discover.nci.nih.gov/cellminercdb/,Integrates multiple cancer cell line databases.,drug-cell-line-response|interaction,,Gene Expression|Small Molecule,,,False,,
chebi,ChEBI,database,https://www.ebi.ac.uk/chebi/,Database focused on small chemical compounds.,compound,,Small Molecule,,,False,,
chembl,ChEMBL,database,https://www.ebi.ac.uk/chembl/,Bioactive molecules with drug-like properties.,compound,,Small Molecule,,,False,,
chemspider,ChemSpider,database,http://www.chemspider.com/,Chemical structure database.,compound,,Small Molecule,,,False,,
clinicaltrials_gov,ClinicalTrials.gov,database,https://clinicaltrials.gov/,Privately and publicly funded clinical studies.,clinical-trial,,Clinical,,,False,,
comparative_toxicogenomics_database,Comparative Toxicogenomics Database,database,http://ctdbase.org/,"Chemical-gene interactions, chemical-disease and gene-disease associations, chemical-phenotype associations.",drug-gene-interaction|interaction,,Gene|Small Molecule,,,False,,
critical_assessment_of_structure_prediction_casp,Critical Assessment of Structure Prediction (CASP),database,https://predictioncenter.org/,Assessing methods for protein structure prediction.,protein,,Protein,,,False,,
cz_cellxgene,CZ CELLxGENE,database,https://cellxgene.cziscience.com/,Single-cell dataset repository and interactive explorer from the Chan Zuckerberg Initiative.,scrna,,Single Cell,,,False,,
davis_kinase_inhibitors_db,Davis kinase inhibitors DB,database,http://staff.cs.utu.fi/~aijrinas/dti/,Experimental kinase inhibitor binding affinity dataset for protein–ligand interaction research.,chemical-protein-interaction|interaction,,Protein|Small Molecule,,,False,,
dependency_map_depmap,Dependency Map (DepMap),database,https://depmap.org/portal/,CRISPR-Cas9 screens in cancer cell lines.,genome,,Genomics,,,False,,
dgidb,DGIdb,database,https://www.dgidb.org/,Drug-gene interactions and the druggable genome.,drug-gene-interaction|interaction,,Gene|Small Molecule,,,False,,
diseases,DISEASES,database,https://diseases.jensenlab.org/,"Gene–disease association database integrating evidence from text mining, curated databases, and experimental data.",disease,,Disease,,,False,,
disgenet,DisGeNET,database,https://www.disgenet.org/,Database of gene-disease associations integrating expert-curated and GWAS data.,disease,,Disease,,,False,,
drkg,DRKG,database,https://github.com/gnn4dr/DRKG,Large-scale biological knowledge graph for drug discovery.,interaction|knowledge-graph,,Knowledge Graph,,,False,,
drug_mechanism_database_drugmechdb,Drug Mechanism Database (DrugMechDB),database,https://github.com/SuLab/DrugMechDB/tree/2.0.1,Mechanisms of action from drug to disease.,interaction|knowledge-graph,,Knowledge Graph,,,False,,
drug_repurposing_hub,Drug Repurposing Hub,database,https://repo-hub.broadinstitute.org/repurposing#download-data,"Collections of drug repurposing data (drug, MoA, target, etc).",compound,,Small Molecule,,,False,,
drugbank,DrugBank,database,https://go.drugbank.com/,Database of drugs and targets (University of Alberta).,disease,,Disease,,,False,,
drugcentral,DrugCentral,database,http://drugcentral.org/,Online drug compendium with drug mode of action and indication information.,compound,,Small Molecule,,,False,,
drugtargetcommons,DrugTargetCommons,database,https://drugtargetcommons.fimm.fi/,Community platform for curating and integrating experimental bioactivity data across drugs and targets.,compound,,Small Molecule,,,False,,
encode,ENCODE,database,https://www.encodeproject.org/,Encyclopedia of DNA Elements; regulatory and functional genomic elements across the genome.,genome,,Genomics,,,False,,
ensembl,Ensembl,database,https://www.ensembl.org/,Genome browser and annotation database for vertebrate and other eukaryotic genomes.,genome,,Genomics,,,False,,
eu_drug_regulating_authorities_clinical_trials_db_eudract,EU Drug Regulating Authorities Clinical Trials DB (EudraCT),database,https://eudract.ema.europa.eu/,European clinical trial database.,clinical-trial,,Clinical,,,False,,
fantom5,FANTOM5,database,https://fantom.gsc.riken.jp/5/,"Functional annotation of mammalian genome; comprehensive atlas of active enhancers, promoters, and transcription start sites across human and mouse cell types.",genome,,Genomics,,,False,,
genbank,GenBank,database,https://www.ncbi.nlm.nih.gov/genbank/,NCBI's database of genetic sequences.,genome,,Genomics,,,False,,
gene_expression_omnibus,Gene Expression Omnibus,database,https://www.ncbi.nlm.nih.gov/geo/,Public functional genomics database.,scrna,,Single Cell,,,False,,
genomics_of_drug_sensitivity_in_cancer_gdsc,Genomics of Drug Sensitivity in Cancer (GDSC),database,https://www.cancerrxgene.org/,Drug sensitivity for ~1000 human cancer cell lines and hundreds of compounds.,benchmarks-and-datasets|drug-cell-line-response|interaction,,Gene Expression|Small Molecule,,,False,,
gnomad,gnomAD,database,https://gnomad.broadinstitute.org/,Genome Aggregation Database; genetic variation from large-scale sequencing projects.,genome,,Genomics,,,False,,
hetionet,Hetionet,database,https://github.com/hetio/hetionet,"Heterogeneous network integrating genes, diseases, drugs, pathways, and more.",interaction|knowledge-graph,,Knowledge Graph,,,False,,
hippie,HIPPIE,database,http://cbdm-01.zdv.uni-mainz.de/~mschaefer/hippie/,Human protein-protein interaction database.,interaction|protein-protein-interaction,,Protein,,,False,,
hmdb_human_metabolome_database,HMDB (Human Metabolome Database),database,https://hmdb.ca/,Comprehensive database of small molecule metabolites found in the human body.,compound,,Small Molecule,,,False,,
human_cell_atlas,Human Cell Atlas,database,https://www.humancellatlas.org/,Open global atlas of all cells in the human body.,scrna,,Single Cell,,,False,,
human_genome_resources_at_ncbi,Human Genome Resources at NCBI,database,https://www.ncbi.nlm.nih.gov/projects/genome/guide/human/index.shtml,"Database for genomics, proteomics, transcriptomics, and systems biology.",genome,,Genomics,,,False,,
human_phenotype_ontology_hpo,Human Phenotype Ontology (HPO),database,https://hpo.jax.org/,"Standardized vocabulary of phenotypic abnormalities in human disease, linking genes, variants, and clinical features.",disease,,Disease,,,False,,
icd10,ICD10,database,https://icd.who.int/browse10/2019/en,"International Classification of Diseases, 10th revision.",clinical-trial,,Clinical,,,False,,
intact,IntAct,database,https://www.ebi.ac.uk/intact/home,Open-source molecular interaction database and analysis system from EMBL-EBI.,interaction|protein-protein-interaction,,Protein,,,False,,
interpro,InterPro,database,https://www.ebi.ac.uk/interpro/,"Protein families, domains, and functional sites database integrating 14 member databases including Pfam and PROSITE.",protein,,Protein,,,False,,
jaspar,JASPAR,database,http://jaspar.genereg.net/,Database of transcription factor binding profiles.,genome,,Genomics,,,False,,
kegg_compound,KEGG COMPOUND,database,https://www.genome.jp/kegg/compound/,Collection of small molecules and biopolymers.,compound,,Small Molecule,,,False,,
kegg_drug,KEGG DRUG,database,https://www.genome.jp/kegg/drug/,"Comprehensive, approved drug information.",disease,,Disease,,,False,,
kegg_pathway,KEGG PATHWAY,database,https://www.genome.jp/kegg/pathway.html,Collection of pathway maps.,pathway,,Pathway,,,False,,
kinase_inhibitor_bioactivity_data_kiba,Kinase Inhibitor Bioactivity Data (KIBA),database,https://janeliascicomp.github.io/KIBA/,"Integrated bioactivity scores for kinase inhibitors combining Ki, Kd, and IC50 measurements.",chemical-protein-interaction|interaction,,Protein|Small Molecule,,,False,,
lipid_maps,LIPID MAPS,database,https://www.lipidmaps.org/databases/lmsd/overview,Database of lipids.,compound,,Small Molecule,,,False,,
massbank,MassBank,database,http://www.massbank.jp/,Open source databases and tools for mass spectrometry reference spectra.,mass-spectra,,Mass Spectra,,,False,,
mgnify,MGnify,database,https://www.ebi.ac.uk/metagenomics/,Resource for metagenomic and metatranscriptomic data.,genome,,Genomics,,,False,,
mimic_iv,MIMIC-IV,database,https://mimic.mit.edu/,Freely accessible critical care database.,clinical-trial,,Clinical,,,False,,
mirbase,miRBase,database,https://www.mirbase.org/,"Reference repository for microRNA gene annotations, sequences, and experimentally validated targets.",gene-regulatory-network|interaction,,Gene Expression,,,False,,
mona_massbank_of_north_america,MoNA MassBank of North America,database,https://mona.fiehnlab.ucdavis.edu/,"Meta-database of metabolite mass spectra, metadata, and associated compounds.",mass-spectra,,Mass Spectra,,,False,,
msigdb_molecular_signatures_database,MSigDB (Molecular Signatures Database),database,https://www.gsea-msigdb.org/gsea/msigdb,Curated gene sets derived from pathways and biological processes.,pathway,,Pathway,,,False,,
nci60,NCI60,database,https://dtp.cancer.gov/discovery_development/nci-60/,Focuses on 60 cancer cell lines and many drugs.,benchmarks-and-datasets|drug-cell-line-response|interaction,,Gene Expression|Small Molecule,,,False,,
nextprot,NeXtProt,database,https://www.nextprot.org/,"Expert knowledge base on human proteins with deep functional annotation, complementary to UniProt.",protein,,Protein,,,False,,
oadb_observed_antibody_space_database,OADB (Observed Antibody Space Database),database,http://opig.stats.ox.ac.uk/webapps/oas/,Database of antibody sequences from immune repertoire sequencing.,protein,,Protein,,,False,,
omim_online_mendelian_inheritance_in_man,OMIM (Online Mendelian Inheritance in Man),database,https://www.omim.org/,Comprehensive database of human genes and genetic disorders.,disease,,Disease,,,False,,
omnipath,OmniPath,database,https://omnipathdb.org/,"Comprehensive resource integrating protein interactions, signaling pathways, gene regulatory networks, and miRNA targets from over 100 databases.",pathway,,Pathway,,,False,,
open_targets_platform,Open Targets Platform,database,https://platform.opentargets.org/,"Systematic target identification and prioritization platform integrating genetics, genomics, and drug data for drug discovery.",disease,,Disease,,,False,,
pathwaycommons,PathwayCommons,database,https://www.pathwaycommons.org/,Database of pathways and interactions.,pathway,,Pathway,,,False,,
pdbbind,PDBBind,database,https://www.pdbbind-plus.org.cn/,Binding affinity data for biomolecular complexes.,chemical-protein-interaction|interaction,,Protein|Small Molecule,,,False,,
pfam,Pfam,database,https://www.ebi.ac.uk/interpro/entry/pfam/,Database of protein families described by multiple sequence alignments and hidden Markov models.,protein,,Protein,,,False,,
primekg,PrimeKG,database,https://github.com/mims-harvard/PrimeKG,"Multi-modal precision medicine knowledge graph integrating clinical, genetic, and drug data.",interaction|knowledge-graph,,Knowledge Graph,,,False,,
protein_data_bank_pdb,PROTEIN DATA BANK (PDB),database,https://www.rcsb.org/,"3D structures of proteins, nucleic acids, complexes.",protein,,Protein,,,False,,
pubchem,PubChem,database,https://pubchem.ncbi.nlm.nih.gov/,"One of the largest chemical databases (compounds, genes, and proteins).",compound,,Small Molecule,,,False,,
rcsb_protein_data_bank,RCSB Protein Data Bank,database,https://www.rcsb.org/,Repository for structural data of biological molecules.,protein,,Protein,,,False,,
reactome,Reactome,database,https://reactome.org/,"Expert-curated, peer-reviewed pathway database with detailed reaction mechanisms.",pathway,,Pathway,,,False,,
regnetwork,RegNetwork,database,http://www.regnetworkweb.org/,Database of gene regulatory networks covering transcription factor–target gene and miRNA–gene interaction data across multiple species.,gene-regulatory-network|interaction,,Gene Expression,,,False,,
rfam,Rfam,database,https://rfam.org/,Database of RNA families with sequence alignments and consensus structures.,genome,,Genomics,,,False,,
rhea,Rhea,database,https://www.rhea-db.org/,Database of chemical reactions.,compound,,Small Molecule,,,False,,
roadmap_epigenomics,ROADMAP Epigenomics,database,http://www.roadmapepigenomics.org/,"Reference epigenome maps for 111 primary human cell types and tissues, including histone modifications, chromatin accessibility, and DNA methylation.",genome,,Genomics,,,False,,
sabdab,SAbDab,database,https://opig.stats.ox.ac.uk/webapps/sabdab-sabpred/sabdab,Structural Antibody Database containing all antibody structures in the PDB.,protein,,Protein,,,False,,
signor_2_0,SIGNOR 2.0,database,https://signor.uniroma2.it/,"Database of causal signaling interactions and pathways, with signed and directed relationships between proteins.",pathway,,Pathway,,,False,,
single_cell_expression_atlas,Single Cell Expression Atlas,database,https://www.ebi.ac.uk/gxa/sc/home,Public database for single-cell RNA.,scrna,,Single Cell,,,False,,
single_cell_portal,Single Cell PORTAL,database,https://singlecell.broadinstitute.org/single_cell,Public database for single-cell RNA.,scrna,,Single Cell,,,False,,
snap,SNAP,database,https://snap.stanford.edu/biodata/datasets/10002/10002-ChG-Miner.html,Dataset of drug-gene interactions.,drug-gene-interaction|interaction,,Gene|Small Molecule,,,False,,
stitch,STITCH,database,http://stitch.embl.de/,Chemical-protein interactions.,chemical-protein-interaction|interaction,,Protein|Small Molecule,,,False,,
string,STRING,database,https://string-db.org/,PPI networks for multiple organisms.,interaction|protein-protein-interaction,,Protein,,,False,,
the_genotype_tissue_expression_gtex,The Genotype-Tissue Expression (GTEx),database,https://gtexportal.org/home/,Human gene expression and regulation resource.,genome,,Genomics,,,False,,
the_human_protein_atlas,THE HUMAN PROTEIN ATLAS,database,https://www.proteinatlas.org/,"Comprehensive human protein database (cells, tissues, organs).",protein,,Protein,,,False,,
therapeutic_target_database,Therapeutic Target Database,database,https://idrblab.net/ttd/full-data-download,"Drug-target, target-disease, and drug-disease datasets.",compound,,Small Molecule,,,False,,
trrust_v2,TRRUST v2,database,https://www.grnpedia.org/trrust/,"Manually curated database of human and mouse transcriptional regulatory interactions between transcription factors and their target genes, expanded with literature-derived evidence.",gene-regulatory-network|interaction,,Gene Expression,,,False,,
ucsc_genome_browser,UCSC Genome Browser,database,https://genome.ucsc.edu/,UCSC's genome browser.,genome,,Genomics,,,False,,
uniclust,Uniclust,database,https://uniclust.mmseqs.com/,Clustered protein sequence databases.,protein,,Protein,,,False,,
uniprot,UniProt,database,https://www.uniprot.org/,Functional information on proteins.,protein,,Protein,,,False,,
uniref,UniRef,database,https://www.uniprot.org/uniref/,Non-redundant sequence database clustering UniProtKB entries at multiple sequence identity thresholds.,protein,,Protein,,,False,,
wikipathways,WikiPathways,database,https://wikipathways.org/,Database of biological pathways.,pathway,,Pathway,,,False,,
zinc_ligand_discovery_database,ZINC ligand discovery database,database,https://zinc.docking.org/,Free database of commercially-available compounds for virtual screening.,compound,,Small Molecule,,,False,,
aestetik,AESTETIK,model,https://github.com/ratschlab/aestetik,Autoencoder for spatial transcriptomics representation learning using topology and histology image knowledge.,foundation-models|single-cell-foundation-models|spatial-foundation-models,Foundation Model,Single Cell|Spatial Transcriptomics,,,False,,
ai4chem_chemllm_7b_chat,AI4Chem/ChemLLM-7B-Chat,model,https://huggingface.co/AI4Chem/ChemLLM-7B-Chat,LLM for chemical & molecular science.,llm-for-biology,Language Modeling,Text,,,False,,
alphafold3,AlphaFold3,model,https://github.com/google-deepmind/alphafold3,"Predicts structures of proteins, nucleic acids, small molecules, and their complexes.",foundation-models|protein-foundation-models|protein-structure-prediction-and-design,Foundation Model|Protein Structure Prediction,Protein,,,False,,
ankh,Ankh,model,https://github.com/agemagician/Ankh,"Efficient protein language model optimized for downstream prediction tasks including secondary structure, localization, and function annotation.",foundation-models|pre-trained-embedding|protein-foundation-models,Foundation Model,Protein,,,False,,
babel,BABEL,model,https://github.com/wukevin/babel,Cross-modality translation model enabling prediction between scRNA-seq and scATAC-seq profiles without requiring paired single-cell measurements.,foundation-models|multi-omics-foundation-models|single-cell-foundation-models,Foundation Model,Multi-Omics|Single Cell,,,False,,
basenji,Basenji,model,https://github.com/calico/basenji,Sequential regulatory activity prediction from DNA sequences.,foundation-models|genomics-foundation-models,Foundation Model,Genomics,,,False,,
biogpt,BioGPT,model,https://github.com/microsoft/BioGPT,LLM for biomedical text generation.,llm-for-biology,Language Modeling,Text,,,False,,
biomedclip,BiomedCLIP,model,https://huggingface.co/microsoft/BiomedCLIP-PubMedBERT_256-vit_g_14,CLIP-based vision-language foundation model for biomedical images and text trained on PubMed figure–caption pairs.,foundation-models|multi-modal-foundation-models,Foundation Model,Multi-Modal,,,False,,
biomedlm,BioMedLM,model,https://huggingface.co/stanford-crfm/BioMedLM,2.7B parameter GPT-2-style language model trained exclusively on biomedical literature from PubMed for biomedical question answering and text generation.,llm-for-biology,Language Modeling,Text,,,False,,
boltz_1,Boltz-1,model,https://github.com/jwohlwend/boltz,"Open-source all-atom biomolecular structure prediction model for proteins, nucleic acids, small molecules, and their complexes achieving AlphaFold3-level accuracy.",foundation-models|protein-foundation-models|protein-structure-prediction-and-design,Foundation Model|Protein Structure Prediction,Protein,,,False,,
borzoi,Borzoi,model,https://github.com/calico/borzoi,Extended successor to Enformer for predicting RNA-seq coverage from long genomic sequence windows (524 kb) with improved resolution.,foundation-models|genomics-foundation-models,Foundation Model,Genomics,,,False,,
bulkformer,BulkFormer,model,https://github.com/KangBoming/BulkFormer,Foundation model for bulk RNA-seq data; learns general transcriptomic representations.,foundation-models|single-cell-foundation-models|transcriptomics-foundation-models,Foundation Model,Single Cell|Transcriptomics,,,False,,
caduceus,Caduceus,model,https://github.com/kuleshov-group/caduceus,Bidirectional equivariant long-range DNA sequence model based on Mamba.,foundation-models|genomics-foundation-models,Foundation Model,Genomics,,,False,,
cancerfoundation,CancerFoundation,model,https://github.com/BoevaLab/CancerFoundation,Single-cell RNA-seq foundation model trained exclusively on a curated dataset of malignant cells to learn cancer-specific embeddings.,foundation-models|single-cell-foundation-models|transcriptomics-foundation-models,Foundation Model,Single Cell|Transcriptomics,,,False,,
cassia,CASSIA,model,https://github.com/ElliotXie/CASSIA,"Multi-agent LLM for reference-free, interpretable cell-type annotation of single-cell RNA-seq data, with dedicated annotation, validation, scoring, and reporting agents.",llm-for-biology,Language Modeling,Text,,,False,,
cellplm,CellPLM,model,https://github.com/OmicsML/CellPLM,Cell pre-trained language model with inter-cell transformer architecture for diverse single-cell analysis tasks.,foundation-models|single-cell-foundation-models|transcriptomics-foundation-models,Foundation Model,Single Cell|Transcriptomics,,,False,,
chai_1,Chai-1,model,https://github.com/chaidiscovery/chai-lab,"Unified molecular structure prediction model covering proteins, nucleic acids, small molecules, and complexes.",foundation-models|protein-foundation-models|protein-structure-prediction-and-design,Foundation Model|Protein Structure Prediction,Protein,,,False,,
chatdrug,ChatDrug,model,https://github.com/chao1224/ChatDrug,"LLM-based conversational pipeline for drug discovery, using natural language prompts for iterative drug editing and optimization.",llm-for-biology,Language Modeling,Text,,,False,,
chemberta_2,ChemBERTa-2,model,https://github.com/seyonechithrananda/bert-loves-chemistry,RoBERTa-based molecular language model pretrained on SMILES for small-molecule representation learning.,compound-embedding|compound-foundation-models|foundation-models,Foundation Model,Small Molecule,,,False,,
chemcpa,chemCPA,model,https://github.com/theislab/chemCPA,Compositional perturbation autoencoder for predicting single-cell transcriptional responses to unseen drug perturbations and dose combinations.,drug-discovery|drug-response-prediction,Drug Discovery|Drug Response Prediction,Small Molecule,,,False,,
chief,CHIEF,model,https://github.com/hms-dbmi/CHIEF,Clinical Histopathology Imaging Evaluation Foundation model integrating histology images and clinical context for pan-cancer analysis.,foundation-models|multi-modal-foundation-models,Foundation Model,Multi-Modal,,,False,,
